45.86.228.104,443,AE,BlueVPS OU
95.164.62.196,443,BE,Stark Industries Solutions
185.82.218.224,443,BG,GREEN FLOID LLC
91.215.153.85,443,BG,GREEN FLOID LLC
144.22.144.168,4242,BR,Oracle Cloud
192.18.150.121,27620,CA,Oracle Cloud
185.195.69.119,8443,CH,Datasource AG
185.195.69.119,2053,CH,Datasource AG
185.195.69.209,2053,CH,Datasource AG
45.90.58.58,81,CH,GREEN FLOID LLC
45.85.93.49,443,CH,SERVA ONE LTD
45.95.232.18,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
91.192.102.170,2053,CH,Datasource AG
156.230.12.71,443,CN,263 Shanghai Communications
37.1.195.124,443,DE,Leaseweb Germany
80.76.32.165,443,DE,First Server
5.187.7.200,21821,DE,Fornex Hosting SL
91.107.166.111,8888,DE,Hetzner Online
213.183.44.184,443,DE,Melbikomas UAB
185.66.165.51,443,DE,Digital Frankfurt
139.162.133.162,42779,DE,Akamai Connected Cloud
158.180.49.11,2053,DE,Oracle Corporation
18.156.209.101,443,DE,Amazon.com Inc
18.192.93.64,443,DE,Amazon.com Inc
185.233.80.60,2053,DE,FIRST SERVER LIMITED
3.69.0.8,443,DE,Amazon.com Inc
3.67.232.136,443,DE,Amazon.com Inc
51.195.119.195,2053,DE,OVH SAS
54.38.219.132,12055,DE,OVH SAS
77.221.157.32,443,DE,AEZA INTERNATIONAL LTD
81.95.4.189,443,DE,Core-Backbone GmbH
85.192.60.129,443,DE,AEZA INTERNATIONAL LTD
87.251.87.36,443,DE,INTERNATIONAL HOSTING COMPANY LIMITED
89.168.68.57,2053,DE,Oracle Corporation
37.1.194.237,2053,DE,Leaseweb Germany
185.114.72.119,24780,ES,FIRST SERVER LIMITED
103.45.245.208,8443,ES,Kamatera Inc
93.93.119.91,443,ES,IONOS SE
193.109.84.39,443,FI,I-servers
135.181.30.234,2053,FI,Hetzner Online GmbH
193.164.155.27,8443,FI,CGI GLOBAL LIMITED
194.53.54.84,8443,FI,I-SERVERS LTD
31.58.137.94,443,FI,CGI GLOBAL LIMITED
45.156.22.52,2053,FI,CGI GLOBAL LIMITED
65.108.149.250,8443,FI,Hetzner Online GmbH
65.108.245.196,443,FI,Hetzner Online GmbH
65.109.12.58,2053,FI,Hetzner Online GmbH
65.109.186.249,2053,FI,Hetzner Online GmbH
